LOCO ,TYPE OF LOCO,ZONE,BASE SHED,DIVISION,DATE OF COMMENCEMENT
30263,WAP7,CR,AQE,NGP,06-Mar-11
30265,WAP7,CR,AQE,NGP,22-Feb-11
30266,WAP7,CR,AQE,NGP,09-Jan-11
30267,WAP7,CR,AQE,NGP,27-Jan-11
30296,WAP7,CR,AQE,NGP,07-Jul-11
30301,WAP7,CR,AQE,NGP,24-Apr-12
30303,WAP7,CR,AQE,NGP,25-Nov-11
30310,WAP7,CR,AQE,NGP,22-Feb-12
30315,WAP7,CR,AQE,NGP,12-Sep-12
30465,WAP7,CR,AQE,NGP,23-May-16
30467,WAP7,CR,AQE,NGP,23-May-16
30489,WAP7,CR,AQE,NGP,30-Sep-16
30499,WAP7,CR,AQE,NGP,02-Dec-16
30514,WAP7,CR,AQE,NGP,05-Mar-17
30518,WAP7,CR,AQE,NGP,15-Mar-17
30616,WAP7,CR,AQE,NGP,04-Apr-18
30702,WAP7,CR,AQE,NGP,20-Jul-18
30735,WAP7,CR,AQE,NGP,30-Sep-18
30771,WAP7,CR,AQE,NGP,17-Dec-20
30789,WAP7,CR,AQE,NGP,19-Aug-20
30797,WAP7,CR,AQE,NGP,27-Aug-20
30798,WAP7,CR,AQE,NGP,07-Sep-20
30799,WAP7,CR,AQE,NGP,12-Dec-20
31027,WAG9H,CR,AQE,NGP,02-Nov-03
31033,WAG9H,CR,AQE,NGP,03-Nov-03
31040,WAG9H,CR,AQE,NGP,07-Dec-03
31061,WAG9H,CR,AQE,NGP,01-Mar-04
31062,WAG9H,CR,AQE,NGP,14-Apr-04
31063,WAG9H,CR,AQE,NGP,03-Jun-04
31065,WAG9H,CR,AQE,NGP,15-Aug-04
31067,WAG9H,CR,AQE,NGP,18-Oct-04
31069,WAG9H,CR,AQE,NGP,24-Dec-04
31070,WAG9H,CR,AQE,NGP,19-Jan-05
31071,WAG9H,CR,AQE,NGP,01-Dec-05
31072,WAG9H,CR,AQE,NGP,16-Apr-05
31073,WAG9H,CR,AQE,NGP,29-Mar-05
31075,WAG9H,CR,AQE,NGP,01-Jun-05
31076,WAG9H,CR,AQE,NGP,01-Oct-05
31077,WAG9H,CR,AQE,NGP,21-Oct-05
31078,WAG9H,CR,AQE,NGP,02-Nov-05
31080,WAG9H,CR,AQE,NGP,19-Nov-05
31081,WAG9H,CR,AQE,NGP,01-Dec-05
31083,WAG9H,CR,AQE,NGP,31-Dec-05
31084,WAG9H,CR,AQE,NGP,14-Jan-06
31085,WAG9H,CR,AQE,NGP,01-Feb-06
31087,WAG9H,CR,AQE,NGP,24-Feb-06
31088,WAG9H,CR,AQE,NGP,12-Mar-06
31089,WAG9H,CR,AQE,NGP,18-Mar-06
31090,WAG9H,CR,AQE,NGP,17-Apr-06
31091,WAG9H,CR,AQE,NGP,12-Apr-06
31092,WAG9H,CR,AQE,NGP,17-Jun-06
31093,WAG9H,CR,AQE,NGP,02-Jun-06
31094,WAG9H,CR,AQE,NGP,12-Jun-06
31095,WAG9H,CR,AQE,NGP,26-Jun-06
31096,WAG9H,CR,AQE,NGP,28-Jun-06
31097,WAG9H,CR,AQE,NGP,21-Jul-06
31098,WAG9H,CR,AQE,NGP,16-Jul-06
31099,WAG9H,CR,AQE,NGP,24-Jul-06
31100,WAG9H,CR,AQE,NGP,12-Aug-06
31101,WAG9H,CR,AQE,NGP,26-Aug-06
31102,WAG9H,CR,AQE,NGP,30-Aug-06
31103,WAG9H,CR,AQE,NGP,24-Sep-06
31104,WAG9H,CR,AQE,NGP,16-Dec-06
31105,WAG9H,CR,AQE,NGP,04-Oct-06
31106,WAG9H,CR,AQE,NGP,12-Oct-06
31107,WAG9,CR,AQE,NGP,24-Nov-06
31108,WAG9H,CR,AQE,NGP,23-Oct-06
31109,WAG9H,CR,AQE,NGP,05-Dec-06
31111,WAG9H,CR,AQE,NGP,05-Jan-07
31112,WAG9H,CR,AQE,NGP,26-Dec-06
31113,WAG9H,CR,AQE,NGP,03-Jan-07
31114,WAG9H,CR,AQE,NGP,06-Jan-07
31115,WAG9H,CR,AQE,NGP,15-Jan-07
31116,WAG9H,CR,AQE,NGP,05-Feb-07
31117,WAG9H,CR,AQE,NGP,14-Feb-07
31118,WAG9H,CR,AQE,NGP,10-Feb-07
31119,WAG9H,CR,AQE,NGP,11-Feb-07
31222,WAG9H,CR,AQE,NGP,28-Nov-09
31223,WAG9H,CR,AQE,NGP,22-Dec-09
31224,WAG9H,CR,AQE,NGP,19-Nov-09
31225,WAG9H,CR,AQE,NGP,21-Nov-09
31226,WAG9H,CR,AQE,NGP,02-Dec-09
31227,WAG9H,CR,AQE,NGP,18-Dec-09
31228,WAG9H,CR,AQE,NGP,24-Dec-09
31229,WAG9H,CR,AQE,NGP,15-Jan-10
31230,WAG9H,CR,AQE,NGP,16-Jan-10
31242,WAG9,CR,AQE,NGP,28-Apr-10
31243,WAG9H,CR,AQE,NGP,04-May-10
31244,WAG9H,CR,AQE,NGP,23-Apr-10
31245,WAG9H,CR,AQE,NGP,25-Apr-10
31246,WAG9H,CR,AQE,NGP,28-May-10
31247,WAG9H,CR,AQE,NGP,09-May-10
31259,WAG9H,CR,AQE,NGP,24-Aug-10
31260,WAG9H,CR,AQE,NGP,05-Sep-10
31261,WAG9H,CR,AQE,NGP,26-Sep-10
31262,WAG9H,CR,AQE,NGP,23-Apr-11
31263,WAG9H,CR,AQE,NGP,22-Aug-10
31264,WAG9H,CR,AQE,NGP,27-Nov-10
31270,WAG9H,CR,AQE,NGP,31-Oct-10
31271,WAG9H,CR,AQE,NGP,18-Nov-10
31272,WAG9H,CR,AQE,NGP,30-Nov-10
31273,WAG9H,CR,AQE,NGP,05-Dec-10
31274,WAG9H,CR,AQE,NGP,14-Dec-10
31275,WAG9H,CR,AQE,NGP,09-Nov-10
31276,WAG9H,CR,AQE,NGP,30-Nov-10
31277,WAG9H,CR,AQE,NGP,05-Dec-10
31278,WAG9H,CR,AQE,NGP,07-Jan-11
31280,WAG9H,CR,AQE,NGP,20-Jan-11
31281,WAG9H,CR,AQE,NGP,06-Jun-11
31286,WAG9H,CR,AQE,NGP,11-Dec-11
31314,WAG9H,CR,AQE,NGP,08-Feb-12
31329,WAG9H,CR,AQE,NGP,19-Jun-12
31339,WAG9H,CR,AQE,NGP,19-Aug-12
31359,WAG9H,CR,AQE,NGP,02-Nov-12
31360,WAG9H,CR,AQE,NGP,02-Nov-12
31361,WAG9H,CR,AQE,NGP,06-Dec-12
31364,WAG9H,CR,AQE,NGP,23-Jan-13
31369,WAG9H,CR,AQE,NGP,14-Feb-12
31376,WAG9H,CR,AQE,NGP,31-Mar-13
31379,WAG9H,CR,AQE,NGP,08-Mar-13
31383,WAG9H,CR,AQE,NGP,27-Feb-13
31385,WAG9H,CR,AQE,NGP,14-Feb-13
31386,WAG9H,CR,AQE,NGP,25-Mar-13
31388,WAG9H,CR,AQE,NGP,21-Mar-13
31408,WAG9H,CR,AQE,NGP,10-Sep-13
31417,WAG9H,CR,AQE,NGP,02-Oct-13
31430,WAG9H,CR,AQE,NGP,16-Nov-13
31437,WAG9H,CR,AQE,NGP,31-Oct-13
31438,WAG9H,CR,AQE,NGP,24-Oct-13
31439,WAG9H,CR,AQE,NGP,09-Nov-13
31445,WAG9H,CR,AQE,NGP,13-Jan-14
31454,WAG9H,CR,AQE,NGP,06-Feb-14
31455,WAG9H,CR,AQE,NGP,03-Jan-14
31464,WAG9H,CR,AQE,NGP,23-Mar-14
31465,WAG9H,CR,AQE,NGP,28-Jan-14
31469,WAG9H,CR,AQE,NGP,01-Mar-14
31470,WAG9H,CR,AQE,NGP,30-Jun-14
31475,WAG9H,CR,AQE,NGP,06-Jul-14
31479,WAG9H,CR,AQE,NGP,18-Jul-14
31484,WAG9H,CR,AQE,NGP,12-Mar-14
31485,WAG9H,CR,AQE,NGP,16-Nov-14
31490,WAG9H,CR,AQE,NGP,30-Jun-14
31494,WAG9H,CR,AQE,NGP,09-Oct-14
31499,WAG9H,CR,AQE,NGP,23-Nov-14
31500,WAG9H,CR,AQE,NGP,19-Aug-14
31514,WAG9H,CR,AQE,NGP,06-Jul-14
31520,WAG9H,CR,AQE,NGP,28-Dec-14
31524,WAG9H,CR,AQE,NGP,23-Aug-14
31527,WAG9H,CR,AQE,NGP,21-Nov-14
31534,WAG9H,CR,AQE,NGP,30-Nov-14
31540,WAG9H,CR,AQE,NGP,04-Jan-15
31542,WAG9H,CR,AQE,NGP,13-Jan-15
31543,WAG9H,CR,AQE,NGP,27-Jan-15
31544,WAG9H,CR,AQE,NGP,17-Jan-15
31558,WAG9H,CR,AQE,NGP,22-Jan-15
31566,WAG9H,CR,AQE,NGP,13-May-15
31573,WAG9H,CR,AQE,NGP,26-Apr-15
31643,WAG9H,CR,AQE,NGP,10-Jan-16
31649,WAG9H,CR,AQE,NGP,18-Jan-16
31650,WAG9H,CR,AQE,NGP,12-Jan-16
31668,WAG9H,CR,AQE,NGP,08-Feb-16
31690,WAG9H,CR,AQE,NGP,14-Mar-16
31749,WAG9H,CR,AQE,NGP,06-Apr-16
31750,WAG9H,CR,AQE,NGP,18-Apr-16
31783,WAG9H,CR,AQE,NGP,26-Oct-16
31971,WAG9H,CR,AQE,NGP,20-Mar-18
31976,WAG9H,CR,AQE,NGP,01-Jan-18
31980,WAG9H,CR,AQE,NGP,23-Dec-17
31981,WAG9H,CR,AQE,NGP,19-Dec-17
31999,WAG9H,CR,AQE,NGP,13-Feb-18
32001,WAG9H,CR,AQE,NGP,06-Jan-18
32006,WAG9H,CR,AQE,NGP,31-Mar-18
32014,WAG9H,CR,AQE,NGP,14-Dec-17
32049,WAG9H,CR,AQE,NGP,22-Mar-18
32052,WAG9H,CR,AQE,NGP,30-Mar-18
32072,WAG9H,CR,AQE,NGP,08-Feb-18
32089,WAG9H,CR,AQE,NGP,07-Mar-18
32105,WAG9H,CR,AQE,NGP,06-May-18
32296,WAG9H,CR,AQE,NGP,15-Feb-19
32304,WAG9H,CR,AQE,NGP,04-May-19
32341,WAG9H,CR,AQE,NGP,24-Apr-19
32372,WAG9H,CR,AQE,NGP,09-Jun-19
32373,WAG9H,CR,AQE,NGP,08-Aug-19
32375,WAG9H,CR,AQE,NGP,13-Aug-19
32382,WAG9H,CR,AQE,NGP,05-May-19
32425,WAG9H,CR,AQE,NGP,02-Aug-19
32437,WAG9H,CR,AQE,NGP,15-Jun-19
33278,WAG9H,CR,AQE,NGP,10-Dec-21
33280,WAG9H,CR,AQE,NGP,21-Nov-21
33282,WAG9H,CR,AQE,NGP,30-Oct-21
33286,WAG9H,CR,AQE,NGP,20-Nov-21
33322,WAG9H,CR,AQE,NGP,15-Dec-21
33330,WAG9H,CR,AQE,NGP,10-Dec-21
33354,WAG9H,CR,AQE,NGP,01-Jan-22
33610,WAG9H,CR,AQE,NGP,25-Aug-22
33611,WAG9H,CR,AQE,NGP,16-Sep-22
33618,WAG9H,CR,AQE,NGP,24-Sep-22
33619,WAG9H,CR,AQE,NGP,27-Aug-22
33635,WAG9H,CR,AQE,NGP,04-Jul-22
33645,WAG9H,CR,AQE,NGP,10-Jan-23
33668,WAG9H,CR,AQE,NGP,26-Sep-22
33698,WAG9H,CR,AQE,NGP,27-Sep-22
33740,WAG9H,CR,AQE,NGP,25-Feb-23
33795,WAG9H,CR,AQE,NGP,25-Dec-22
33796,WAG9H,CR,AQE,NGP,25-Dec-22
37006,WAP7,CR,AQE,NGP,07-Sep-18
37007,WAP7,CR,AQE,NGP,05-Sep-18
37021,WAP7,CR,AQE,NGP,06-Nov-18
37028,WAP7,CR,AQE,NGP,03-Dec-18
37045,WAP7,CR,AQE,NGP,03-Mar-19
37157,WAP7,CR,AQE,NGP,20-Jul-19
37158,WAP7,CR,AQE,NGP,20-Aug-19
37267,WAP7,CR,AQE,NGP,22-Feb-20
37270,WAP7,CR,AQE,NGP,20-Dec-19
37281,WAP7,CR,AQE,NGP,26-Dec-19
37411,WAP7,CR,AQE,NGP,03-Oct-20
37433,WAP7,CR,AQE,NGP,13-Oct-20
37434,WAP7,CR,AQE,NGP,01-Nov-20
37443,WAP7,CR,AQE,NGP,12-Feb-21
37444,WAP7,CR,AQE,NGP,20-Nov-20
37472,WAP7,CR,AQE,NGP,25-Jan-21
37479,WAP7,CR,AQE,NGP,10-Jan-21
37496,WAP7,CR,AQE,NGP,15-Jan-21
37498,WAP7,CR,AQE,NGP,28-Feb-21
37500,WAP7,CR,AQE,NGP,23-Mar-21
37516,WAP7,CR,AQE,NGP,13-Jan-21
37517,WAP7,CR,AQE,NGP,12-Jan-21
37518,WAP7,CR,AQE,NGP,11-Mar-21
37558,WAP7,CR,AQE,NGP,26-May-21
37574,WAP7,CR,AQE,NGP,01-Jun-21
37575,WAP7,CR,AQE,NGP,01-Jun-21
37599,WAP7,CR,AQE,NGP,10-Apr-23
37628,WAP7,CR,AQE,NGP,31-Dec-23
37629,WAP7,CR,AQE,NGP,31-Dec-23
37630,WAP7,CR,AQE,NGP,28-Dec-23
37642,WAP7,CR,AQE,NGP,30-Jan-24
37643,WAP7,CR,AQE,NGP,30-Jan-24
37644,WAP7,CR,AQE,NGP,30-Jan-24
37685,WAP7,CR,AQE,NGP,12-Apr-24
37686,WAP7,CR,AQE,NGP,07-Apr-24
37687,WAP7,CR,AQE,NGP,18-Apr-24
37688,WAP7,CR,AQE,NGP,22-Apr-24
37689,WAP7,CR,AQE,NGP,30-Apr-24
37690,WAP7,CR,AQE,NGP,14-Apr-24
37691,WAP7,CR,AQE,NGP,19-Apr-24
38137,WAG9H,CR,AQE,NGP,27-Jun-23
38138,WAG9H,CR,AQE,NGP,30-Jun-23
38317,WAG9H,CR,AQE,NGP,25-Jan-24
38319,WAG9H,CR,AQE,NGP,25-Jan-24
38320,WAG9H,CR,AQE,NGP,25-Jan-24
38321,WAG9H,CR,AQE,NGP,01-Apr-24
38324,WAG9H,CR,AQE,NGP,25-Jan-24
38325,WAG9H,CR,AQE,NGP,25-Jan-24
38326,WAG9H,CR,AQE,NGP,25-Jan-24
38336,WAG9H,CR,AQE,NGP,13-Mar-24
38344,WAG9H,CR,AQE,NGP,17-Jun-24
38353,WAG9H,CR,AQE,NGP,12-May-24
38357,WAG9H,CR,AQE,NGP,19-Mar-24
38376,WAG9H,CR,AQE,NGP,17-Jun-24
38408,WAG9H,CR,AQE,NGP,26-Dec-23
38412,WAG9H,CR,AQE,NGP,25-Jan-24
38427,WAG9H,CR,AQE,NGP,30-Apr-24
38457,WAG9H,CR,AQE,NGP,25-Feb-24
39310,WAP7,CR,AQE,NGP,30-Jan-24
39320,WAP7,CR,AQE,NGP,28-Feb-24
39326,WAP7,CR,AQE,NGP,28-Mar-24
39330,WAP7,CR,AQE,NGP,20-Mar-24
39335,WAP7,CR,AQE,NGP,09-Apr-24
41588,WAG9H,CR,AQE,NGP,28-Feb-22
41589,WAG9H,CR,AQE,NGP,28-Feb-22
41590,WAG9H,CR,AQE,NGP,31-Mar-22
41691,WAG9H,CR,AQE,NGP,21-Dec-22
41710,WAG9H,CR,AQE,NGP,26-Feb-23
41711,WAG9H,CR,AQE,NGP,19-Jan-23
41712,WAG9H,CR,AQE,NGP,31-Jan-23
41713,WAG9H,CR,AQE,NGP,26-Feb-23
41808,WAG9H,CR,AQE,NGP,07-Aug-23
41811,WAG9H,CR,AQE,NGP,18-Aug-23
41814,WAG9H,CR,AQE,NGP,07-Aug-23
41841,WAG9H,CR,AQE,NGP,21-Dec-23
41844,WAG9H,CR,AQE,NGP,02-Feb-24
43055,WAG9H,CR,AQE,NGP,20-Sep-22
43056,WAG9H,CR,AQE,NGP,05-Jan-23
43153,WAG9H,CR,AQE,NGP,21-Dec-22
43154,WAG9H,CR,AQE,NGP,21-Jan-23
43156,WAG9H,CR,AQE,NGP,21-Jan-23
43319,WAG9H,CR,AQE,NGP,27-Jun-23
43323,WAG9H,CR,AQE,NGP,31-May-23
43506,WAG9H,CR,AQE,NGP,21-Dec-23
43508,WAG9H,CR,AQE,NGP,31-Dec-23
43629,WAG9H,CR,AQE,NGP,10-Apr-24
43666,WAG9H,CR,AQE,NGP,16-May-24
43678,WAG9H,CR,AQE,NGP,24-May-24
43679,WAG9H,CR,AQE,NGP,30-May-24
43683,WAG9H,CR,AQE,NGP,17-Jul-24
43690,WAG9H,CR,AQE,NGP,08-Jun-24
43695,WAG9H,CR,AQE,NGP,16-Jul-24
22203,WAP4,CR,BSLL,BSL,11-Feb-96
22204,WAP4,CR,BSLL,BSL,18-Feb-96
22212,WAP4,CR,BSLL,BSL,01-Apr-97
22245,WAP4,CR,BSLL,BSL,07-Oct-98
22267,WAP4,CR,BSLL,BSL,01-Apr-99
22297,WAP4,CR,BSLL,BSL,01-Aug-99
22307,WAP4,CR,BSLL,BSL,06-Nov-99
22361,WAP4,CR,BSLL,BSL,09-Jan-01
22362,WAP4,CR,BSLL,BSL,09-Jan-01
22513,WAP4,CR,BSLL,BSL,01-Feb-02
22514,WAP4,CR,BSLL,BSL,02-Jan-02
22628,WAP4,CR,BSLL,BSL,20-Jul-05
22629,WAP4,CR,BSLL,BSL,17-Aug-05
22630,WAP4,CR,BSLL,BSL,02-Sep-05
22631,WAP4,CR,BSLL,BSL,13-Sep-05
22633,WAP4,CR,BSLL,BSL,17-Oct-05
22636,WAP4,CR,BSLL,BSL,26-Oct-05
22680,WAP4,CR,BSLL,BSL,01-Jan-07
22681,WAP4,CR,BSLL,BSL,01-Jan-07
22682,WAP4,CR,BSLL,BSL,09-Jan-07
22683,WAP4,CR,BSLL,BSL,01-Apr-07
22709,WAP4,CR,BSLL,BSL,01-Aug-07
22755,WAP4,CR,BSLL,BSL,12-Aug-08
22757,WAP4,CR,BSLL,BSL,05-Aug-08
22759,WAP4,CR,BSLL,BSL,13-Aug-08
22760,WAP4,CR,BSLL,BSL,03-Sep-08
22763,WAP4,CR,BSLL,BSL,28-Oct-08
22779,WAP4,CR,BSLL,BSL,02-May-09
22790,WAP4,CR,BSLL,BSL,01-May-09
22791,WAP4,CR,BSLL,BSL,01-May-09
22821,WAP4,CR,BSLL,BSL,14-Dec-09
22831,WAP4,CR,BSLL,BSL,01-Apr-10
22832,WAP4,CR,BSLL,BSL,01-Apr-10
22833,WAP4,CR,BSLL,BSL,01-Apr-10
22834,WAP4,CR,BSLL,BSL,01-May-10
22846,WAP4,CR,BSLL,BSL,11-Jan-10
22847,WAP4,CR,BSLL,BSL,01-Nov-10
22848,WAP4,CR,BSLL,BSL,01-Mar-11
22857,WAP4,CR,BSLL,BSL,22-Jan-11
22876,WAP4,CR,BSLL,BSL,21-Apr-11
22899,WAP4,CR,BSLL,BSL,01-Dec-11
22900,WAP4,CR,BSLL,BSL,01-Dec-11
22911,WAP4,CR,BSLL,BSL,01-Mar-12
22912,WAP4,CR,BSLL,BSL,01-Mar-12
22913,WAP4,CR,BSLL,BSL,01-Mar-12
22914,WAP4,CR,BSLL,BSL,03-Mar-12
22916,WAP4,CR,BSLL,BSL,13-Mar-12
22926,WAP4,CR,BSLL,BSL,29-Jun-12
22928,WAP4,CR,BSLL,BSL,01-Aug-12
22929,WAP4,CR,BSLL,BSL,01-Aug-12
22930,WAP4,CR,BSLL,BSL,01-Aug-12
22931,WAP4,CR,BSLL,BSL,11-Aug-12
22950,WAP4,CR,BSLL,BSL,01-Feb-13
22951,WAP4,CR,BSLL,BSL,01-Feb-13
22952,WAP4,CR,BSLL,BSL,11-Feb-13
22964,WAP4,CR,BSLL,BSL,01-Jul-13
22965,WAP4,CR,BSLL,BSL,01-Jul-13
22966,WAP4,CR,BSLL,BSL,08-Jul-13
22967,WAP4,CR,BSLL,BSL,21-Jul-13
22973,WAP4,CR,BSLL,BSL,24-Sep-13
22974,WAP4,CR,BSLL,BSL,01-Oct-13
22975,WAP4,CR,BSLL,BSL,01-Feb-14
22981,WAP4,CR,BSLL,BSL,25-Mar-14
22986,WAP4,CR,BSLL,BSL,05-May-14
23362,WAG5TAOCHI,CR,BSLL,BSL,01-Jul-89
23390,WAG5P,CR,BSLL,BSL,30-Aug-89
23393,WAG5P,CR,BSLL,BSL,09-Sep-89
23394,WAG5TAOCHI,CR,BSLL,BSL,19-Nov-89
23418,WAG5TAOCHI,CR,BSLL,BSL,30-Dec-89
23423,WAG5TAOCHI,CR,BSLL,BSL,24-Jan-90
23425,WAG5TAOCHI,CR,BSLL,BSL,27-Jan-90
23430,WAG5TAOCHI,CR,BSLL,BSL,19-Feb-90
23436,WAG5TAOCHI,CR,BSLL,BSL,19-Feb-90
23440,WAG5TAOCHI,CR,BSLL,BSL,10-Mar-90
23449,WAG5TAOCHI,CR,BSLL,BSL,08-Apr-90
23451,WAG5TAOCHI,CR,BSLL,BSL,08-Apr-90
23452,WAG5TAOCHI,CR,BSLL,BSL,16-Apr-90
23467,WAG5TAOCHI,CR,BSLL,BSL,12-Jun-90
23475,WAG5TAOCHI,CR,BSLL,BSL,20-Jul-90
23476,WAG5TAOCHI,CR,BSLL,BSL,31-Jul-90
23477,WAG5TAOCHI,CR,BSLL,BSL,05-Aug-90
23478,WAG5TAOCHI,CR,BSLL,BSL,06-Aug-90
23487,WAG5TAOCHI,CR,BSLL,BSL,30-Aug-90
23490,WAG5TAOCHI,CR,BSLL,BSL,17-Sep-90
23495,WAG5TAOCHI,CR,BSLL,BSL,17-Sep-90
23498,WAG5TAOCHI,CR,BSLL,BSL,29-Oct-90
23503,WAG5TAOCHI,CR,BSLL,BSL,04-Nov-90
23504,WAG5TAOCHI,CR,BSLL,BSL,10-Nov-90
23513,WAG5TAOCHI,CR,BSLL,BSL,18-Dec-90
23521,WAG5TAOCHI,CR,BSLL,BSL,25-Jan-91
23526,WAG5TAOCHI,CR,BSLL,BSL,13-Feb-91
23528,WAG5TAOCHI,CR,BSLL,BSL,21-Feb-91
23529,WAG5TAOCHI,CR,BSLL,BSL,01-Apr-91
23534,WAG5TAOCHI,CR,BSLL,BSL,23-Feb-91
23536,WAG5TAOCHI,CR,BSLL,BSL,15-Mar-91
23547,WAG5TAOCHI,CR,BSLL,BSL,18-Apr-91
23548,WAG5TAOCHI,CR,BSLL,BSL,04-Apr-91
23552,WAG5P,CR,BSLL,BSL,18-Apr-91
23558,WAG5TAOCHI,CR,BSLL,BSL,14-Apr-91
23560,WAG5TAOCHI,CR,BSLL,BSL,14-Jun-91
23564,WAG5TAOCHI,CR,BSLL,BSL,24-Jun-91
23569,WAG5TAOCHI,CR,BSLL,BSL,24-Jul-91
23570,WAG5TAOCHI,CR,BSLL,BSL,28-Aug-91
23572,WAG5TAOCHI,CR,BSLL,BSL,07-Aug-91
23578,WAG5TAOCHI,CR,BSLL,BSL,14-Aug-91
23582,WAG5TAOCHI,CR,BSLL,BSL,27-Sep-91
23585,WAG5P,CR,BSLL,BSL,24-Sep-91
23587,WAG5TAOCHI,CR,BSLL,BSL,10-Oct-91
23588,WAG5TAOCHI,CR,BSLL,BSL,13-Oct-91
23593,WAG5TAOCHI,CR,BSLL,BSL,24-Oct-91
23600,WAG5TAOCHI,CR,BSLL,BSL,13-Nov-91
23606,WAG5TAOCHI,CR,BSLL,BSL,03-Dec-91
23610,WAG5TAOCHI,CR,BSLL,BSL,12-Jun-91
23616,WAG5TAOCHI,CR,BSLL,BSL,14-Dec-91
23621,WAG5TAOCHI,CR,BSLL,BSL,21-Jan-92
23649,WAG5TAOCHI,CR,BSLL,BSL,18-Mar-92
23651,WAG5TAOCHI,CR,BSLL,BSL,09-Apr-92
23652,WAG5TAOchi,CR,BSLL,BSL,06-Apr-92
23654,WAG5TAOCHI,CR,BSLL,BSL,21-Apr-92
23656,WAG5TAOCHI,CR,BSLL,BSL,21-Apr-92
23657,WAG5TAOCHI,CR,BSLL,BSL,03-Apr-92
23658,WAG5TAOCHI,CR,BSLL,BSL,16-May-92
23660,WAG5TAOCHI,CR,BSLL,BSL,30-Apr-92
23661,WAG5TAOCHI,CR,BSLL,BSL,15-May-92
23662,WAG5TAOCHI,CR,BSLL,BSL,12-May-92
23680,WAG5TAOCHI,CR,BSLL,BSL,17-Feb-92
23681,WAG5TAOCHI,CR,BSLL,BSL,22-Jul-92
23682,WAG5TAOCHI,CR,BSLL,BSL,23-Jul-92
23690,WAG5TAOCHI,CR,BSLL,BSL,20-Aug-92
23718,WAG5TAOCHI,CR,BSLL,BSL,24-Nov-92
23730,WAG5TAOCHI,CR,BSLL,BSL,26-Dec-92
23736,WAG5TAOCHI,CR,BSLL,BSL,30-Jan-93
23738,WAG5TAOCHI,CR,BSLL,BSL,14-Jan-93
23755,WAG5TAOCHI,CR,BSLL,BSL,27-Feb-93
23757,WAG5TAOCHI,CR,BSLL,BSL,11-Jun-93
23772,WAG5TAOCHI,CR,BSLL,BSL,10-May-93
23785,WAG5TAOCHI,CR,BSLL,BSL,12-Jul-93
23788,WAG5TAOCHI,CR,BSLL,BSL,30-Jul-93
23790,WAG5TAOCHI,CR,BSLL,BSL,05-Aug-93
23794,WAG5TAOCHI,CR,BSLL,BSL,03-Sep-93
23822,WAG5TAOCHI,CR,BSLL,BSL,19-Nov-93
23834,WAG5TAOCHI,CR,BSLL,BSL,26-Dec-93
23844,WAG5TAOCHI,CR,BSLL,BSL,22-Jan-94
23915,WAG5TAOCHI,CR,BSLL,BSL,20-Oct-94
23945,WAG5TAOCHI,CR,BSLL,BSL,01-Feb-95
25016,WAP4,CR,BSLL,BSL,21-May-15
25022,WAP4,CR,BSLL,BSL,04-Aug-15
25030,WAP4,CR,BSLL,BSL,30-Aug-15
25034,WAP4,CR,BSLL,BSL,30-Sep-15
25046,WAP4,CR,BSLL,BSL,30-Nov-15
25047,WAP4,CR,BSLL,BSL,18-Dec-15
25048,WAP4,CR,BSLL,BSL,09-Dec-15
27102,WAG7,CR,BSLL,BSL,11-Mar-96
27103,WAG7,CR,BSLL,BSL,26-Feb-96
27106,WAG7,CR,BSLL,BSL,17-Mar-96
27107,WAG7,CR,BSLL,BSL,21-Mar-96
27184,WAG7,CR,BSLL,BSL,02-Aug-97
27204,WAG7,CR,BSLL,BSL,15-Feb-97
27208,WAG7,CR,BSLL,BSL,23-Apr-97
27220,WAG7,CR,BSLL,BSL,28-Apr-97
27238,WAG7,CR,BSLL,BSL,30-Jun-97
27261,WAG7,CR,BSLL,BSL,10-Sep-97
27276,WAG7,CR,BSLL,BSL,10-Oct-97
27288,WAG7,CR,BSLL,BSL,14-Nov-97
27317,WAG7,CR,BSLL,BSL,18-Mar-98
27348,WAG7,CR,BSLL,BSL,30-Mar-98
27364,WAG7,CR,BSLL,BSL,21-Apr-98
27365,WAG7,CR,BSLL,BSL,11-May-98
27409,WAG7,CR,BSLL,BSL,24-Oct-98
27419,WAG7,CR,BSLL,BSL,12-Aug-98
27434,WAG7,CR,BSLL,BSL,16-Dec-98
27477,WAG7,CR,BSLL,BSL,21-Apr-99
27771,WAG7,CR,BSLL,BSL,02-Feb-06
27772,WAG7,CR,BSLL,BSL,08-Feb-06
27773,WAG7,CR,BSLL,BSL,14-Feb-06
27812,WAG7,CR,BSLL,BSL,01-Dec-06
27814,WAG7,CR,BSLL,BSL,01-Dec-06
31074,WAG9H,CR,BSLL,BSL,21-Aug-05
31536,WAG9H,CR,BSLL,BSL,25-Dec-14
31670,WAG9H,CR,BSLL,BSL,06-Apr-16
32035,WAG9H,CR,BSLL,BSL,28-Dec-17
32040,WAG9H,CR,BSLL,BSL,12-Jan-18
32041,WAG9H,CR,BSLL,BSL,15-Jan-18
32046,WAG9H,CR,BSLL,BSL,29-Jan-18
32071,WAG9H,CR,BSLL,BSL,07-Feb-18
32114,WAG9H,CR,BSLL,BSL,31-Jul-18
32117,WAG9H,CR,BSLL,BSL,17-May-18
32336,WAG9H,CR,BSLL,BSL,30-Apr-19
